Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22,512,1,1,8,0.0855964,0.0705131, N/A,0.000138478,0.00014802,0.296644,0.000441002,1,2,4,8,1,1,65.6323, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,1024,1,1,8,0.0883493,0.0741304, N/A,0.000246254,0.000201337,0.694212,0.000854161,1,2,8,16,1,1,67.7717, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,2048,1,1,8,0.09248,0.0752261, N/A,0.000438727,0.000284892,1.38792,0.00172393,2,2,16,32,1,1,67.1582, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,4096,1,1,8,0.101841,0.0950351, N/A,0.00081147,0.000439799,2.62075,0.00352196,2,2,32,64,1,1,65.7451, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,8192,1,1,8,0.13982,0.0950351, N/A,0.0010307,0.000659028,5.46279,0.00740113,2,4,32,64,1,1,62.572, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,16384,1,1,8,0.182761,0.0950351, N/A,0.0014403,0.00106456,10.881,0.0145986,2,8,32,32,2,1,63.445, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,32768,1,1,8,0.209376,0.156334, N/A,0.00233919,0.00151963,19.2652,0.0273101,2,8,64,32,4,1,67.8288, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,65536,1,1,8,0.265184,0.156334, N/A,0.00321266,0.0023931,39.116,0.0552785,2,16,64,32,4,1,67.0211, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,131072,1,1,8,0.340521,0.116822, N/A,0.00430734,0.0035755,81.9042,0.102757,8,8,128,32,2,1,72.1087, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,262144,1,1,8,0.396141,0.178211, N/A,0.00648823,0.00489053,146.165,0.196344,4,16,128,32,4,1,75.4763, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,524288,1,1,8,0.487331,0.178211, N/A,0.00885457,0.00725687,289.426,0.390193,8,16,256,32,4,1,75.9589, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,1048576,1,1,8,0.602362,0.178211, N/A,0.0122264,0.0106124,576.348,0.772127,8,32,256,16,8,1,76.7714, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,2097152,1,1,8,0.796892,0.178211, N/A,0.0188936,0.0172796,1153.33,1.54699,8,64,256,16,8,1,76.6355, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,4194304,1,1,8,1.13387,0.224954, N/A,0.0322925,0.0291222,2273.08,2.94347,8,64,256,16,8,1,80.5543, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22,8388608,1,1,8,1.78051,0.224954, N/A,0.058453,0.0552828,4551.13,5.91091,8,128,256,16,8,1,80.2276, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
